;;;;;;;;;;;;;;;;Hektar ;;
Bölge Müdürlüğü;Yıl                Year;İhmal  ;;;;;;;Kasıt;;;;Kaza   ;;;;                    ; 
;;Anız;Çöplük;Avcılık ;Çoban_Ateşi;Sigara;Piknik;Diğer ;Terör;Kundaklama     Incension;Açma;Diğer;Enerji;Trafik;Diğer;Faili_meçhul ;Doğal   ;Toplam
Toplam-Total;;10791,024;1389,774;992,082;1096,1921;2980,5447;1742,24;34729,3248;Terör Terror;3328,2063;31,6;52297,5952;56243,6996;2269,857;7855,3461;93131,5697;14321,3659;283439,1014
Adana;2013;38;3,2;8;101,3;36,61;3,2;7,6;Terör Terror;41,3;-;8,61;26,5;0,3;6;584,9;874,92;1740,44
Adana;2014;7,9;0,43;-;12,7;3,73;9,4;0,1;Terör Terror;2,5;-;0,67;4,1;4,9;3,48;92,22;2,85;144,98
Adana;2015;36,91;1,41;3,84;0,45;1,57;0,2;0,17;Terör Terror;0,75;0,7;0,15;1,53;0,01;1,25;335,21;17,39;401,64
Adana;2016;4,97;11,91;-;1,15;12,87;1,04;3,09;Terör Terror;1,1;-;7,9;4,03;0,2;-;126,88;2;177,14
Adana;2017;16,61;0,3;-;0,2;6,95;0,11;6,11;Terör Terror;3,34;-;0,02;0,78;1,2;-;122,48;3,42;161,52
Adana;2018;1,34;-;-;2,5;0,41;0,52;3,2;Terör Terror;0,8;-;0,1;0,29;0,1;0,5;150,17;3,24;163,17
Adana;2019;2,0579;3,33;-;-;-;1,1638;32,5382;Terör Terror;9,6878;-;0,12;0,47;-;3,91;99,4324;6,3686;159,0787
Adana;2020;0,8;-;-;0,01;-;0,01;41,85;Terör Terror;2,62;-;0,5;4,62;2,74;-;2702,37;20,02;2775,54
Adana;2021;109,79;-;-;-;0,01;0,03;26,08;Terör Terror;-;-;1,97;2691,35;0,29;1898,87;2968,84;1,37;7698,6
Adana;2022;2,7924;-;-;-;0,0105;-;3,7659;Terör Terror;-;-;1,4026;1,9531;16,197;3,71;33,9296;422,7343;486,4954
Adana;2023;1;-;-;-;-;1;48;Terör Terror;-;-;2;1;-;36;256;1;346
Adana;2024;5,237;0,05;1,3;;0,2;-;5,76;Terör Terror;-;-;-;5,706;0,11;-;100,063;4,688;123,114
Amasya;2013;32,4;-;-;4,17;-;8,7;20;Terör Terror;1;0,8;0,7;3,05;-;1,5;198,97;279,52;550,81
Amasya;2014;2,31;0,5;-;1,3;1,4;-;3,9;Terör Terror;-;0,03;1;1,98;-;0,1;185,95;2,3;200,77
Amasya;2015;10,5;1,45;-;22,6;-;5,5;-;Terör Terror;-;-;-;14,6;-;0,2;64;0,51;119,36
Amasya;2016;54,4;0,1;-;0,5;-;1,53;-;Terör Terror;11,9;-;-;0,3;-;-;320,78;-;389,51
Amasya;2017;10,85;0,5;-;1;0,2;25;0,8;Terör Terror;-;-;3;3,75;-;-;88,66;3,7;137,46
Amasya;2018;12,21;-;-;-;-;-;2,89;Terör Terror;-;-;3,12;5,1;0,91;-;25,47;2,84;52,54
Amasya;2019;34,94;-;0,1;-;0,5;-;23,68;Terör Terror;1,6;-;15;0,11;-;0,16;74,9;-;150,99
Amasya;2020;19,41;0,5;-;16,24;-;-;9,65;Terör Terror;32,66;-;0,1;-;0,03;-;478,09;5,79;562,47
Amasya;2021;10,68;-;-;-;1;-;6,7;Terör Terror;-;-;0,01;0,3;-;0,65;41,9;19,56;80,8
Amasya;2022;20,08;0,81;-;-;0,5;-;0,01;Terör Terror;-;-;2;2,3;-;-;30,93;2,52;59,15
Amasya;2023;11;1;-;33;3;-;38;Terör Terror;-;-;-;1;-;-;-;1;88
Amasya;2024;57,16;0,05;31,85;;0,66;5,6;105,94;Terör Terror;1;-;-;38,37;-;0,13;-;6,1;246,86
Ankara;2013;0,7;2,2;-;-;0,05;2,2;0,01;Terör Terror;-;-;1,26;0,3;1,6;2;161,19;176,54;348,05
