country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Turkey;Adana;0;1583495;1583495;1583495;24842;653;878;1302;1037;1140;1344;1734;1613;1108;1964;1488;2249;1953;2088;2342;2346;2581;3387;3646;5483;8631;5271;8450;3710
Turkey;Adana;10;1583495;293785;247222;24842;588;782;1188;896;1016;1170;1418;1366;960;1625;1282;1942;1617;1720;1912;1742;1966;2681;2816;4312;6279;3457;4700;2575
Turkey;Adana;15;1583495;260700;210418;24842;496;684;1094;821;915;1045;1275;1227;891;1483;1181;1818;1536;1631;1827;1637;1861;2561;2668;4081;5824;3208;4441;2461
Turkey;Adana;20;1583495;244133;201877;24842;473;656;1053;792;877;991;1186;1152;848;1396;1122;1741;1449;1539;1717;1541;1768;2434;2540;3858;5425;3015;4195;2344
Turkey;Adana;25;1583495;200586;177347;24842;467;647;1044;783;864;981;1166;1140;841;1377;1107;1670;1225;1288;1445;1301;1519;2103;2186;3311;4454;2540;3617;2048
Turkey;Adana;30;1583495;178411;169463;24842;455;640;1037;777;860;977;1158;1133;838;1364;1096;1620;1033;1085;1214;1099;1295;1824;1902;2890;3823;2210;3100;1807
Turkey;Adana;50;1583495;101977;72407;24842;270;377;654;511;590;658;749;765;613;940;784;1105;613;607;754;654;787;1110;1139;1804;2330;1357;1887;1143
Turkey;Adana;75;1583495;53358;31779;24842;81;139;241;211;194;233;269;287;235;376;346;531;263;238;358;283;349;550;563;894;1205;705;1073;655
Turkey;Adiyaman;0;742049;742049;742049;2165;18;8;3;10;3;20;3;9;14;4;4;13;2;26;12;9;4;4;37;50;37;10;84;17
Turkey;Adiyaman;10;742049;6587;5107;2165;10;4;2;4;3;5;2;5;5;2;3;4;1;14;2;1;1;0;6;12;8;2;14;12
